,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Gambela,ET,8.25,34.5833,68.09,98,100,2.01,moderate rain
1,Mataura,NZ,-46.1927,168.8643,46.47,83,87,0.98,overcast clouds
2,Eureka,US,40.8021,-124.1637,61.12,76,5,8.01,clear sky
3,San Patricio,US,28.017,-97.5169,84.88,76,3,9.86,clear sky
4,Miandrivazo,MG,-19.5167,45.4667,66.47,63,0,3.0,clear sky
5,Saldanha,ZA,-33.0117,17.9442,53.13,76,2,12.91,clear sky
6,Lalmohan,BD,22.3384,90.7419,82.13,79,99,8.57,overcast clouds
7,Chumikan,RU,54.7183,135.315,57.96,72,22,9.08,few clouds
8,Nome,US,64.5011,-165.4064,68.11,57,0,18.41,clear sky
9,Dingle,PH,10.9995,122.6711,86.68,67,100,2.73,overcast clouds
10,Jamestown,US,42.097,-79.2353,60.39,66,0,4.61,clear sky
11,Thompson,CA,55.7435,-97.8558,77.16,57,100,6.91,overcast clouds
12,Coquimbo,CL,-29.9533,-71.3436,51.53,87,75,4.61,broken clouds
13,Mandalgovi,MN,45.7625,106.2708,65.98,32,66,6.46,broken clouds
14,Fukue,JP,32.6881,128.8419,75.56,100,75,6.91,broken clouds
15,Cayenne,GF,4.9333,-52.3333,79.09,1,20,0.0,few clouds
16,Panaba,MX,21.2833,-88.2667,74.97,91,99,9.28,overcast clouds
17,Atuona,PF,-9.8,-139.0333,77.92,77,32,17.18,scattered clouds
18,Honiara,SB,-9.4333,159.95,82.76,78,82,2.35,broken clouds
19,Hamilton,US,39.1834,-84.5333,67.05,63,0,4.61,clear sky
20,Lamu,KE,-2.2717,40.902,77.22,77,70,16.17,light rain
21,Sinnamary,GF,5.3833,-52.95,77.5,85,100,4.83,overcast clouds
22,Omsukchan,RU,62.5333,155.8,63.01,42,65,7.94,broken clouds
23,Laguna,US,38.421,-121.4238,85.96,28,0,9.22,clear sky
24,Avarua,CK,-21.2078,-159.775,78.85,73,40,13.8,scattered clouds
25,Namibe,AO,-15.1961,12.1522,58.41,85,1,4.68,clear sky
26,Cherskiy,RU,68.75,161.3,66.2,32,100,15.82,overcast clouds
27,Cape Town,ZA,-33.9258,18.4232,58.37,72,0,13.8,clear sky
28,Miri,MY,4.4148,114.0089,78.94,94,40,5.75,scattered clouds
29,Rikitea,PF,-23.1203,-134.9692,71.51,63,89,20.56,overcast clouds
30,Busselton,AU,-33.65,115.3333,63.81,76,78,11.5,broken clouds
31,Itoman,JP,26.1247,127.6694,88.57,82,75,12.66,broken clouds
32,Nanortalik,GL,60.1432,-45.2371,39.49,98,100,2.84,overcast clouds
33,Ponta Do Sol,PT,32.6667,-17.1,67.12,72,91,8.66,overcast clouds
34,Eha Amufu,NG,6.6592,7.7596,72.57,93,94,4.32,overcast clouds
35,Ariquemes,BR,-9.9133,-63.0408,73.17,72,9,1.05,clear sky
36,Aklavik,CA,68.2191,-135.0107,46.31,67,82,14.97,broken clouds
37,Bredasdorp,ZA,-34.5322,20.0403,48.0,87,0,3.15,clear sky
38,Tikapur,NP,28.5,81.1333,88.9,40,87,3.24,overcast clouds
39,Pathein,MM,16.7833,94.7333,83.93,76,100,7.47,overcast clouds
40,Bambous Virieux,MU,-20.3428,57.7575,66.45,88,40,3.44,scattered clouds
41,Geraldton,AU,-28.7667,114.6,64.81,72,0,10.36,clear sky
42,Tasiilaq,GL,65.6145,-37.6368,42.96,69,76,6.31,broken clouds
43,Port Alfred,ZA,-33.5906,26.891,57.88,75,79,4.47,broken clouds
44,Biak,ID,-0.9131,122.8766,78.84,77,97,3.96,overcast clouds
45,Peniche,PT,39.3558,-9.3811,61.29,75,100,19.42,overcast clouds
46,Igrim,RU,63.1906,64.4162,66.31,70,56,2.91,broken clouds
47,Raton,US,36.9034,-104.4391,67.32,79,100,23.02,overcast clouds
48,Diamantino,BR,-14.4086,-56.4461,70.48,66,6,2.44,clear sky
49,Hermanus,ZA,-34.4187,19.2345,51.75,84,0,11.81,clear sky
50,Pisco,PE,-13.7,-76.2167,60.85,88,100,3.44,mist
51,Kapaa,US,22.0752,-159.319,84.18,80,75,11.5,broken clouds
52,Hobart,AU,-42.8794,147.3294,56.26,75,75,6.91,broken clouds
53,Kruisfontein,ZA,-34.0033,24.7314,47.68,86,92,5.44,overcast clouds
54,Hazorasp,UZ,41.3194,61.0742,73.24,23,100,14.81,overcast clouds
55,Avera,US,33.194,-82.5271,72.55,28,3,7.45,clear sky
56,Saint-Philippe,RE,-21.3585,55.7679,65.79,77,74,15.17,light rain
57,Pacific Grove,US,36.6177,-121.9166,69.48,75,0,9.22,clear sky
58,Ushuaia,AR,-54.8,-68.3,31.66,93,100,3.44,light snow
59,Talnakh,RU,69.4865,88.3972,69.21,32,100,7.92,overcast clouds
60,Albany,US,42.6001,-73.9662,59.45,56,2,1.99,clear sky
61,Port Macquarie,AU,-31.4333,152.9167,66.88,63,98,8.52,overcast clouds
62,Maxixe,MZ,-23.8597,35.3472,64.51,83,4,3.22,clear sky
63,Znamenskoye,RU,57.1281,73.8282,71.47,67,67,4.79,broken clouds
64,Polis,CY,35.0367,32.4264,66.02,75,0,4.68,clear sky
65,Dzerzhinsk,RU,56.2389,43.4631,58.82,87,75,11.18,broken clouds
66,New Norfolk,AU,-42.7826,147.0587,55.92,81,95,5.14,overcast clouds
67,Ola,RU,59.5833,151.2833,61.14,87,99,5.53,overcast clouds
68,Kaitangata,NZ,-46.2817,169.8464,47.73,80,87,1.77,overcast clouds
69,Upernavik,GL,72.7868,-56.1549,32.74,90,23,13.18,few clouds
70,Punta Arenas,CL,-53.15,-70.9167,35.71,80,0,17.27,clear sky
71,Chippewa Falls,US,44.9369,-91.3929,80.78,60,0,13.8,clear sky
72,Beringovskiy,RU,63.05,179.3167,46.33,86,100,12.59,light rain
73,Kungurtug,RU,50.5994,97.5228,66.83,48,100,2.33,overcast clouds
74,Copiapo,CL,-27.3667,-70.3333,44.29,61,91,0.38,overcast clouds
75,Ribeira Grande,PT,38.5167,-28.7,63.59,74,27,22.41,scattered clouds
76,Toamasina,MG,-18.1667,49.3833,66.2,100,75,9.22,broken clouds
77,Leshan,CN,29.5623,103.7639,88.11,59,43,2.93,scattered clouds
78,Strezhevoy,RU,60.7333,77.5889,72.73,47,13,4.81,few clouds
79,Vila Do Maio,CV,15.1333,-23.2167,75.99,94,100,10.58,moderate rain
80,Yellowknife,CA,62.456,-114.3525,72.12,20,20,13.8,few clouds
81,Mahebourg,MU,-20.4081,57.7,66.49,88,40,3.44,scattered clouds
82,Usinsk,RU,65.9939,57.5281,60.6,64,57,4.47,broken clouds
83,Zhoucheng,CN,35.9122,116.3117,99.97,27,4,5.95,clear sky
84,Mar Del Plata,AR,-38.0023,-57.5575,46.09,88,75,1.99,broken clouds
85,Namatanai,PG,-3.6667,152.4333,85.05,65,11,3.91,few clouds
86,Castro,BR,-24.7911,-50.0119,49.42,93,80,0.63,broken clouds
87,Ostrovnoy,RU,68.0531,39.5131,40.12,95,100,12.84,overcast clouds
88,Provideniya,RU,64.3833,-173.3,41.11,100,40,8.95,fog
89,Bengkulu,ID,-3.8004,102.2655,79.25,85,74,9.15,broken clouds
90,Barrow,US,71.2906,-156.7887,48.22,81,100,11.5,overcast clouds
91,Hilo,US,19.7297,-155.09,82.27,73,100,11.5,overcast clouds
92,Qaanaaq,GL,77.484,-69.3632,33.93,86,41,5.77,scattered clouds
93,Arraial Do Cabo,BR,-22.9661,-42.0278,68.63,73,33,9.73,scattered clouds
94,Liwale,TZ,-9.7667,37.9333,56.95,78,11,3.85,few clouds
95,Tocopilla,CL,-22.092,-70.1979,60.1,64,5,4.63,clear sky
96,Mwinilunga,ZM,-11.7358,24.4293,52.03,65,7,3.36,clear sky
97,Vaini,TO,-21.2,-175.2,80.76,89,40,17.27,light intensity shower rain
98,Khatanga,RU,71.9667,102.5,53.8,41,100,6.58,overcast clouds
99,Fortuna,US,40.5982,-124.1573,60.85,79,100,5.99,overcast clouds
100,Saint George,US,37.1041,-113.5841,82.99,7,0,9.22,clear sky
101,Mount Gambier,AU,-37.8333,140.7667,51.71,93,100,18.41,light rain
102,Ondangwa,NA,-17.9167,15.95,50.0,40,0,3.44,clear sky
103,Agadez,NE,19.75,10.25,84.47,16,1,10.36,clear sky
104,Longyearbyen,SJ,78.2186,15.6401,39.04,60,75,11.5,broken clouds
105,Gorontalo,ID,0.5412,123.0595,84.42,67,100,7.2,overcast clouds
106,Bom Jardim,BR,-7.7958,-35.5872,67.57,96,12,3.51,few clouds
107,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.08,73,6,1.3,clear sky
108,Touros,BR,-5.1989,-35.4608,74.34,87,44,9.04,scattered clouds
109,Campanario,ES,38.8644,-5.6174,61.59,68,23,5.97,few clouds
110,Mocuba,MZ,-16.8392,36.9856,57.43,96,12,3.29,few clouds
111,Hithadhoo,MV,-0.6,73.0833,82.62,72,90,9.26,overcast clouds
112,Zhezkazgan,KZ,47.8043,67.7144,73.38,40,75,11.18,broken clouds
113,Butaritari,KI,3.0707,172.7902,83.01,72,99,15.05,overcast clouds
114,Dikson,RU,73.5069,80.5464,36.91,92,100,11.56,overcast clouds
115,Sembe,CG,1.6481,14.5806,68.95,98,99,2.26,overcast clouds
116,Puerto Ayora,EC,-0.7393,-90.3518,70.56,96,95,1.99,overcast clouds
117,Upata,VE,8.0086,-62.3989,74.19,94,20,5.59,few clouds
118,Vao,NC,-22.6667,167.4833,70.7,58,11,17.38,few clouds
119,Cardston,CA,49.2,-113.3019,64.69,54,95,7.67,overcast clouds
120,Andenes,NO,69.3143,16.1194,48.18,93,75,9.22,broken clouds
121,Kiama,AU,-34.6833,150.8667,66.25,76,100,2.55,overcast clouds
122,Henties Bay,NA,-22.116,14.2845,52.83,89,1,5.84,clear sky
123,Cidreira,BR,-30.1811,-50.2056,51.58,83,0,5.21,clear sky
124,Victoria,HK,22.2855,114.1577,86.38,81,100,18.01,overcast clouds
125,Itupiranga,BR,-5.1347,-49.3267,73.72,76,19,0.94,few clouds
126,Chicama,PE,-7.8447,-79.1469,59.54,84,24,5.91,few clouds
127,Sao Domingos Do Prata,BR,-19.865,-42.9683,61.93,88,72,1.72,broken clouds
128,Chuy,UY,-33.6971,-53.4616,43.66,75,7,5.84,clear sky
129,Ust-Tsilma,RU,65.441,52.1498,53.89,59,100,3.87,overcast clouds
130,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.56,74,82,4.54,broken clouds
131,Mercedes,AR,-34.6515,-59.4307,48.42,50,100,4.45,overcast clouds
132,Chatellerault,FR,46.8,0.5333,66.56,1,99,2.55,overcast clouds
133,Tiksi,RU,71.6872,128.8694,36.19,67,98,13.49,overcast clouds
134,Ponta Delgada,PT,37.7333,-25.6667,64.51,67,40,13.8,scattered clouds
135,Gizo,SB,-8.103,156.8419,83.7,69,11,3.49,few clouds
136,Kieta,PG,-6.2167,155.6333,84.54,62,0,4.45,clear sky
137,Samarai,PG,-10.6167,150.6667,79.65,85,84,19.04,broken clouds
138,Marabba,SD,12.35,32.1833,78.58,67,100,15.35,overcast clouds
139,Baruun-Urt,MN,46.6806,113.2792,67.51,45,78,19.15,broken clouds
140,Turinsk,RU,58.0458,63.696,63.95,78,85,2.48,overcast clouds
141,Alofi,NU,-19.0595,-169.9187,82.29,78,59,10.36,broken clouds
142,Evensk,RU,61.95,159.2333,47.8,83,99,9.95,overcast clouds
143,Bethel,US,41.3712,-73.414,62.96,59,40,3.44,scattered clouds
144,Linxia,CN,35.6003,103.2064,73.08,51,100,3.89,overcast clouds
145,Bluff,NZ,-46.6,168.3333,46.8,69,79,6.89,broken clouds
146,Sitka,US,57.0531,-135.33,53.49,76,100,12.66,mist
147,Pevek,RU,69.7008,170.3133,47.34,60,47,11.05,scattered clouds
148,Luis Correia,BR,-2.8792,-41.6669,76.5,91,5,8.5,clear sky
149,Los Andes,CL,-32.8337,-70.5983,48.0,36,100,0.34,overcast clouds
150,Yangambi,CD,0.8102,24.4336,67.03,99,99,0.38,overcast clouds
151,Katsuura,JP,35.1333,140.3,75.43,85,100,18.41,overcast clouds
152,Constitucion,CL,-35.3333,-72.4167,51.1,67,100,4.76,light rain
153,Naron,ES,43.5167,-8.1528,57.04,90,100,5.41,overcast clouds
154,Millau,FR,44.0833,2.9167,69.93,83,0,5.53,clear sky
155,Kedrovyy,RU,56.1667,91.8167,63.01,65,94,1.79,light rain
156,Norman Wells,CA,65.282,-126.8329,75.24,41,75,19.57,broken clouds
157,Oussouye,SN,12.485,-16.5469,75.38,84,100,11.27,moderate rain
158,Nouakchott,MR,18.0858,-15.9785,76.93,91,100,6.82,overcast clouds
159,Airai,TL,-8.9266,125.4092,70.83,44,86,3.18,overcast clouds
160,Grand-Lahou,CI,5.1367,-5.0242,76.44,86,91,7.2,light rain
161,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,40,12.66,scattered clouds
162,Kavaratti,IN,10.5669,72.642,82.11,77,99,15.03,overcast clouds
163,Houma,US,29.5958,-90.7195,84.99,83,0,3.44,clear sky
164,Kodiak,US,57.79,-152.4072,51.31,82,100,8.05,overcast clouds
165,Kahului,US,20.8947,-156.47,86.02,48,0,19.57,clear sky
166,Gunjur,GM,13.2019,-16.7339,75.27,100,75,4.61,moderate rain
167,Tazovskiy,RU,67.4667,78.7,65.8,41,78,13.24,broken clouds
168,Aldan,RU,58.6031,125.3894,75.58,32,45,9.6,scattered clouds
169,Nikolskoye,RU,59.7035,30.7861,54.79,77,14,7.92,few clouds
170,Carnarvon,AU,-24.8667,113.6333,68.58,62,0,15.12,clear sky
171,Turka,UA,49.1541,23.0297,60.87,65,49,9.95,scattered clouds
172,Porto Novo,BJ,6.4965,2.6036,78.62,88,100,3.58,overcast clouds
173,Georgetown,MY,5.4112,100.3354,85.93,79,20,5.01,few clouds
174,Batagay-Alyta,RU,67.8006,130.4114,50.5,46,98,11.74,overcast clouds
175,Nishihara,JP,26.1842,127.7558,87.85,81,75,17.27,broken clouds
176,Portree,GB,57.4129,-6.1942,46.53,93,53,2.57,broken clouds
177,Petropavlivka,UA,48.4564,36.4367,64.67,74,0,2.06,clear sky
178,Kismayo,SO,-0.3582,42.5454,76.37,82,43,13.4,light rain
179,Winneba,GH,5.3511,-0.6231,75.25,92,100,6.55,overcast clouds
180,Chokurdakh,RU,70.6333,147.9167,39.69,78,100,20.62,overcast clouds
181,Grindavik,IS,63.8424,-22.4338,48.67,100,100,13.8,light intensity drizzle
182,Hofn,IS,64.2539,-15.2082,53.46,78,68,12.41,broken clouds
183,Guerrero Negro,MX,27.9769,-114.0611,64.58,76,0,18.01,clear sky
184,San-Pedro,CI,4.7485,-6.6363,76.1,84,99,4.29,overcast clouds
185,Borup,DK,55.4947,11.9758,51.64,100,75,1.14,broken clouds
186,Yuncheng,CN,35.0231,110.9928,96.08,27,12,18.43,few clouds
187,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,49.55,73,0,5.3,clear sky
188,Shingu,JP,33.7333,135.9833,78.49,80,100,5.12,overcast clouds
189,Maracacume,BR,-2.0428,-45.9592,71.49,99,35,2.89,scattered clouds
190,Gannan,CN,47.9147,123.5031,79.5,52,100,13.11,overcast clouds
191,Samana,DO,19.2056,-69.3369,78.42,84,34,10.0,scattered clouds
192,Puerto Escondido,MX,15.85,-97.0667,78.91,87,100,2.75,overcast clouds
193,Maragogi,BR,-9.0122,-35.2225,74.43,88,34,3.69,scattered clouds
194,San Vicente,AR,-26.6167,-54.1333,49.51,98,30,1.72,scattered clouds
195,Muroto,JP,33.2833,134.15,74.39,83,100,5.03,light rain
196,Cabo San Lucas,MX,22.8909,-109.9124,84.61,78,18,2.77,few clouds
197,Xucheng,CN,20.35,110.1288,87.51,65,100,13.67,overcast clouds
198,Vila Velha,BR,-20.3297,-40.2925,69.75,95,100,3.44,overcast clouds
199,Mnogovershinnyy,RU,53.9353,139.9242,65.16,51,17,5.03,few clouds
200,Gandajika,CD,-6.75,23.95,73.44,57,100,1.61,overcast clouds
201,Paamiut,GL,61.994,-49.6678,39.4,97,100,25.12,light rain
202,Chiredzi,ZW,-21.05,31.6667,54.86,96,0,5.48,clear sky
203,Asau,RO,46.4333,26.4,58.28,76,0,4.81,clear sky
204,Port Hardy,CA,50.6996,-127.4199,55.58,71,75,10.36,broken clouds
205,Goksun,TR,38.021,36.4973,63.19,64,0,5.88,clear sky
206,Kenai,US,60.5544,-151.2583,60.89,55,20,8.05,few clouds
207,Aleksandrov Gay,RU,50.147,48.5704,69.39,65,91,13.56,overcast clouds
208,Iwanai,JP,42.9744,140.5089,67.17,68,35,7.85,scattered clouds
209,Champerico,GT,14.3,-91.9167,78.64,85,100,12.28,overcast clouds
210,Iqaluit,CA,63.7506,-68.5145,46.13,52,75,15.01,broken clouds
211,Brae,GB,60.3964,-1.353,48.42,88,67,10.47,broken clouds
212,Zheleznodorozhnyy,RU,55.7503,38.0042,56.75,95,100,6.62,overcast clouds
213,Acapulco,MX,16.8634,-99.8901,78.6,86,100,5.39,overcast clouds
214,Nyrob,RU,60.733,56.7202,59.88,72,63,4.47,broken clouds
215,Bronnoysund,NO,65.4625,12.1997,50.0,76,100,3.44,overcast clouds
216,Guasdualito,VE,7.2424,-70.7324,73.4,100,75,5.75,broken clouds
217,Souillac,MU,-20.5167,57.5167,66.58,88,40,3.44,scattered clouds
218,Saint Anthony,US,45.0205,-93.218,89.49,57,0,9.22,clear sky
219,Coihaique,CL,-45.5752,-72.0662,34.41,80,0,3.44,clear sky
220,Taoudenni,ML,22.6783,-3.9836,90.55,31,91,9.93,overcast clouds
221,Thun,CH,46.7512,7.6217,70.72,84,0,4.74,clear sky
222,Severo-Kurilsk,RU,50.6789,156.125,49.84,90,99,0.43,overcast clouds
223,Bakchar,RU,57.0186,82.0711,69.98,61,12,2.93,few clouds
224,Suntar,RU,62.1444,117.6319,63.81,45,94,15.48,overcast clouds
225,Rocha,UY,-34.4833,-54.3333,44.67,64,52,4.9,broken clouds
226,Lima,PE,-12.0432,-77.0282,57.45,88,100,12.66,mist
227,Lasa,IT,46.6166,10.7002,60.69,90,4,3.4,clear sky
228,Liseleje,DK,56.0053,11.9483,52.99,90,79,4.92,broken clouds
229,Kandalaksha,RU,67.162,32.4123,44.01,90,100,5.7,overcast clouds
230,Anloga,GH,5.7947,0.8973,77.5,87,52,9.19,broken clouds
231,Kirkland Lake,CA,48.1446,-80.0377,57.49,67,84,4.72,broken clouds
