,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
466,Bani,DO,18.2833,-70.3333,78.24,78,21,8.72,few clouds
467,Vilhena,BR,-12.7406,-60.1458,67.01,72,41,2.91,scattered clouds
468,Kumbo,CM,6.2,10.6667,57.76,98,100,2.73,moderate rain
469,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,18.41,few clouds
470,Kiunga,PG,-6.1219,141.2906,83.7,67,100,3.22,overcast clouds
471,Kwinana,AU,-32.25,115.7667,66.81,86,91,4.0,overcast clouds
472,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,64.06,74,0,2.73,clear sky
473,Rio Cuarto,AR,-33.1307,-64.3499,43.32,33,100,6.91,overcast clouds
474,Tecoanapa,MX,16.5167,-98.75,75.87,91,100,8.7,overcast clouds
475,Akot,IN,21.0964,77.0586,84.25,62,93,10.96,overcast clouds
476,Prince Rupert,CA,54.3161,-130.3201,55.49,76,100,5.75,overcast clouds
477,San Isidro,PE,-12.1167,-77.05,58.59,88,100,12.66,mist
478,Sagua De Tanamo,CU,20.5819,-75.2414,76.73,85,99,1.99,overcast clouds
479,Beidao,CN,34.5686,105.8933,84.31,47,95,7.7,overcast clouds
480,Tivaouane,SN,14.9515,-16.8129,77.34,79,99,11.54,light rain
481,Tuatapere,NZ,-46.1333,167.6833,49.66,69,6,4.99,clear sky
482,Bogorodskoye,RU,56.55,37.8833,50.76,97,100,8.25,overcast clouds
483,Plaeng Yao,TH,13.5847,101.284,93.85,45,44,5.41,scattered clouds
484,Vaiano,IT,43.949,11.1232,70.66,76,0,1.14,clear sky
485,Kasongo-Lunda,CD,-6.4667,16.8167,64.96,70,92,1.66,overcast clouds
486,Vitim,RU,59.4511,112.5578,58.35,96,100,2.51,light rain
487,Fort Nelson,CA,58.8053,-122.7002,76.59,29,40,3.44,scattered clouds
488,Suleja,NG,9.1758,7.1808,72.27,91,100,1.92,light rain
489,Youkounkoun,GN,12.5333,-13.1333,73.63,90,100,3.58,overcast clouds
490,Sakaiminato,JP,35.55,133.2333,82.33,69,75,10.36,broken clouds
491,Rawson,AR,-43.3002,-65.1023,40.1,67,1,8.79,clear sky
492,Tabasalu,EE,59.4303,24.5331,55.69,94,75,5.75,broken clouds
493,Terenos,BR,-20.4422,-54.8603,65.91,94,0,8.05,clear sky
494,Vanavara,RU,60.34,102.2797,64.29,46,95,10.74,overcast clouds
495,Makaha,US,21.4694,-158.2175,85.91,47,0,12.66,clear sky
496,Komsomolskiy,UZ,40.4272,71.7189,79.52,29,100,2.3,overcast clouds
497,Terra Santa,BR,-2.1042,-56.4869,74.55,84,77,1.88,broken clouds
498,Kulhudhuffushi,MV,6.6221,73.07,82.58,74,92,12.53,overcast clouds
499,Ampanihy,MG,-24.7,44.75,56.43,92,0,4.47,clear sky
500,Estelle,US,29.8458,-90.1067,91.4,65,40,6.91,scattered clouds
501,Surt,LY,31.2089,16.5887,74.12,69,0,11.61,clear sky
502,Karratha,AU,-20.7377,116.8463,77.83,37,0,18.16,clear sky
503,Yala,TH,6.3333,101.25,86.95,61,97,1.79,overcast clouds
504,Vanimo,PG,-2.6741,141.3028,85.23,64,51,6.62,broken clouds
505,Dafeng,CN,23.4517,108.5881,85.33,78,100,6.89,overcast clouds
506,Gamba,GA,-2.65,10.0,71.56,85,91,7.49,overcast clouds
507,Tigil,RU,57.8,158.6667,49.68,86,100,7.09,overcast clouds
508,Krasnokamensk,RU,50.0979,118.0369,79.7,53,100,5.59,overcast clouds
509,Tripoli,LY,32.8752,13.1875,74.77,69,0,13.71,clear sky
510,Pula,HR,44.8683,13.8481,64.96,72,0,5.75,clear sky
511,Terney,RU,45.0503,136.6092,58.93,83,83,6.49,broken clouds
512,Baft,IR,29.234,56.6057,74.97,14,22,1.68,few clouds
513,Huron,US,41.1501,-82.5499,66.69,64,99,5.55,overcast clouds
514,Cururupu,BR,-1.8283,-44.8683,73.9,96,9,2.75,clear sky
515,Wenling,CN,28.3669,121.36,75.2,97,100,15.32,moderate rain
516,Kathmandu,NP,27.7167,85.3167,73.62,78,40,3.44,scattered clouds
517,Orange Cove,US,36.6244,-119.3137,83.86,22,0,6.91,clear sky
518,Ovsyanka,RU,55.9575,92.5519,65.37,59,74,1.66,broken clouds
519,Atar,MR,20.5169,-13.0499,78.57,73,98,6.6,moderate rain
520,Amurzet,RU,47.6967,131.0981,75.79,50,93,1.21,overcast clouds
521,Oudtshoorn,ZA,-33.5907,22.2014,44.96,87,12,2.95,few clouds
522,Antalaha,MG,-14.9003,50.2788,69.96,87,60,11.25,light rain
523,Nagapattinam,IN,10.7667,79.8333,86.31,62,100,7.94,overcast clouds
524,Vaitape,PF,-16.5167,-151.75,79.48,76,30,20.56,light rain
525,Nantucket,US,41.2835,-70.0995,55.51,81,75,0.0,broken clouds
526,Gwanda,ZW,-20.9333,29.0,53.8,65,0,5.95,clear sky
527,Sabang,ID,5.8933,95.3214,82.2,73,64,2.46,broken clouds
528,Suicheng,CN,33.8963,117.9331,90.99,32,5,9.55,clear sky
529,Tabou,CI,4.423,-7.3528,76.59,81,80,5.32,broken clouds
530,Sunyani,GH,7.3399,-2.3268,68.43,98,85,3.58,overcast clouds
531,Tambovka,RU,50.0969,128.0489,61.39,86,100,6.58,overcast clouds
532,Qaqortoq,GL,60.7167,-46.0333,39.81,97,100,5.14,overcast clouds
533,Ewa Beach,US,21.3156,-158.0072,85.95,55,0,17.27,clear sky
534,Charleville-Mezieres,FR,49.7667,4.7167,58.77,97,100,8.48,moderate rain
535,Kansk,RU,56.2017,95.7175,67.33,64,21,4.72,few clouds
536,West Wendover,US,40.7391,-114.0733,63.61,27,75,11.5,broken clouds
537,Gat,IL,31.61,34.7642,70.48,100,0,1.3,clear sky
538,Byron Bay,AU,-28.65,153.6167,64.71,72,60,11.18,light rain
539,Fallon,US,39.4735,-118.7774,69.67,20,0,19.57,clear sky
540,Lata,PT,40.1629,-8.3327,53.92,88,98,2.98,overcast clouds
541,Hami,CN,42.8,93.45,87.46,14,100,5.88,overcast clouds
542,Usakos,NA,-22.0,15.6,42.89,87,51,2.28,broken clouds
543,Sarajevo,BA,43.8486,18.3564,55.31,87,0,1.14,clear sky
544,Acara,BR,-1.9608,-48.1967,72.9,93,71,2.95,broken clouds
545,Yanam,IN,16.7333,82.2167,88.11,63,100,6.08,light rain
546,Port Hueneme,US,34.1478,-119.1951,76.57,63,0,11.5,clear sky
547,College,US,64.8569,-147.8028,70.59,55,75,1.01,shower rain
548,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,58.05,91,15,1.01,few clouds
549,Opuwo,NA,-18.0607,13.84,43.43,90,0,6.69,clear sky
550,Broken Hill,AU,-31.95,141.4333,62.64,35,78,13.8,broken clouds
551,Linares,CL,-35.85,-71.6,47.17,67,100,1.95,overcast clouds
552,San,ML,13.3034,-4.8956,84.58,51,10,7.61,clear sky
553,Isangel,VU,-19.55,169.2667,74.61,73,93,15.48,overcast clouds
554,Aksu,CN,41.1231,80.2644,75.63,27,100,3.85,overcast clouds
555,Honningsvag,NO,70.9821,25.9704,44.35,76,100,0.0,overcast clouds
556,Hudson Bay,CA,52.85,-102.3842,60.28,95,96,4.27,overcast clouds
557,Black River,JM,18.0264,-77.8487,76.84,76,100,6.64,overcast clouds
558,Makhachkala,RU,42.9764,47.5024,66.18,52,0,6.24,clear sky
559,Soe,ID,-9.8607,124.284,78.48,41,10,8.52,clear sky
560,Ajdabiya,LY,30.7554,20.2263,72.99,55,0,2.68,clear sky
561,Oarai,JP,36.3167,140.6,86.34,79,100,7.7,overcast clouds
562,Maniitsoq,GL,65.4167,-52.9,41.16,86,100,4.12,light rain
563,Dunedin,NZ,-45.8742,170.5036,47.8,73,89,3.0,overcast clouds
564,Lengshuitan,CN,26.4111,111.5956,76.01,97,100,5.06,overcast clouds
565,Cravo Norte,CO,6.3017,-70.2041,72.95,96,91,4.23,overcast clouds
566,Camacha,PT,33.0833,-16.3333,63.82,72,40,14.97,scattered clouds
567,Kaeo,NZ,-35.1,173.7833,55.33,94,100,15.86,moderate rain
568,Kumluca,TR,36.3703,30.2869,75.34,72,0,2.37,clear sky
569,Bideford,GB,51.0179,-4.2046,57.31,87,100,12.03,overcast clouds
570,Meiganga,CM,6.5167,14.3,62.4,97,100,2.21,overcast clouds
571,Ylivieska,FI,64.0833,24.55,48.88,94,7,2.62,clear sky
572,Paita,PE,-5.0892,-81.1144,63.81,84,18,13.51,few clouds
573,Seoul,KR,37.5683,126.9778,83.59,69,75,3.44,broken clouds
574,Asifabad,IN,19.3667,79.2833,84.92,67,100,10.33,overcast clouds
575,Muli,MV,2.9167,73.5667,83.19,70,34,10.09,scattered clouds
576,Berlin,DE,52.5244,13.4105,60.98,89,57,10.36,broken clouds
577,Manzil Salim,TN,35.8567,8.4765,70.34,60,1,3.15,clear sky
578,Koutiala,ML,12.3917,-5.4642,78.42,70,20,9.4,few clouds
579,Awbari,LY,26.5921,12.7805,80.62,18,0,9.31,clear sky
580,Tsalenjikha,GE,42.6044,42.0682,68.58,90,79,0.98,broken clouds
581,Naze,JP,28.3667,129.4833,77.92,81,99,11.56,overcast clouds
582,Salalah,OM,17.0151,54.0924,80.29,89,100,10.18,overcast clouds
583,Donetsk,UA,48.0,37.8,66.58,63,0,2.8,clear sky
584,North Bend,US,43.4065,-124.2243,61.16,88,20,18.41,few clouds
585,Udachnyy,RU,66.4167,112.4,52.45,49,6,14.72,clear sky
586,Roald,NO,62.5833,6.1333,49.75,100,5,6.91,clear sky
587,Selfoss,IS,63.9331,-20.9971,49.05,94,100,8.7,overcast clouds
588,Elko,US,41.0002,-115.5012,51.64,53,69,8.99,broken clouds
589,Dongsheng,CN,39.8161,109.9776,76.62,40,100,9.8,overcast clouds
590,Timra,SE,62.487,17.3257,51.48,87,12,9.22,few clouds
591,Tartus,SY,34.889,35.8866,71.58,78,0,4.45,clear sky
592,Gigmoto,PH,13.7796,124.39,87.44,65,55,6.15,broken clouds
593,Maltahohe,NA,-24.8333,16.9833,40.12,85,8,10.13,clear sky
594,Languyan,PH,5.2618,120.0807,86.31,60,88,3.02,overcast clouds
595,Dicabisagan,PH,17.0818,122.4157,89.31,62,31,8.03,scattered clouds
596,Buraydah,SA,26.326,43.975,90.05,12,5,8.93,clear sky
597,Mopipi,BW,-21.1833,24.8833,55.94,51,0,7.74,clear sky
598,Raudeberg,NO,61.9875,5.1352,47.07,91,3,7.74,clear sky
599,Cadillac,US,44.2519,-85.4012,67.91,40,75,6.91,broken clouds
600,Jiazi,CN,22.8779,116.067,83.64,81,100,15.73,overcast clouds
601,Galesong,ID,-5.3166,119.3661,86.02,70,37,3.24,scattered clouds
602,Donskoye,RU,45.4552,41.9741,69.93,61,0,3.76,clear sky
603,Biltine,TD,14.5333,20.9167,84.22,45,45,2.21,scattered clouds
604,Belmonte,BR,-15.8631,-38.8828,71.15,84,13,8.32,few clouds
605,Tondano,ID,1.3038,124.9112,80.69,74,85,2.01,overcast clouds
606,Calama,CL,-22.4667,-68.9333,39.69,20,0,14.97,clear sky
607,Kyrylivka,UA,46.3759,35.3675,70.75,63,0,3.29,clear sky
608,Caravelas,BR,-17.7125,-39.2481,70.41,82,1,4.79,clear sky
609,Sunrise Manor,US,36.2111,-115.0731,89.11,7,0,14.97,clear sky
610,Krasnoselkup,RU,65.7,82.4667,69.69,32,16,4.14,few clouds
611,Loandjili,CG,-4.7561,11.8578,71.71,94,20,3.44,few clouds
612,Bandrele,YT,-12.9067,45.1914,78.55,83,75,11.5,broken clouds
613,Harper,LR,4.375,-7.7169,76.51,83,83,6.02,broken clouds
614,Varberg,SE,57.1056,12.2508,53.24,92,92,1.21,overcast clouds
615,Moussoro,TD,13.6408,16.4901,85.55,47,91,10.69,overcast clouds
616,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,93,100,13.8,mist
617,Nizwa,OM,22.9333,57.5333,88.47,43,1,1.28,clear sky
618,Juneau,US,58.3019,-134.4197,55.22,87,100,12.66,shower rain
619,Aviles,ES,43.5547,-5.9248,58.93,69,0,10.36,clear sky
620,Pirovskoye,RU,57.6267,92.2658,67.96,62,10,3.94,clear sky
621,Aksarka,RU,66.5606,67.7975,67.12,64,17,5.21,few clouds
622,Salinas,US,36.6777,-121.6555,72.21,52,0,9.22,clear sky
623,Garmsar,IR,35.2182,52.3409,82.15,36,0,2.95,clear sky
624,Banjar,ID,-8.19,114.9675,86.83,64,67,1.16,broken clouds
625,Nalobikha,RU,53.2006,84.6039,61.54,87,98,3.71,light rain
626,Damietta,EG,31.4165,31.8133,75.09,79,0,7.34,clear sky
627,Borodino,RU,55.9106,94.8983,67.12,64,86,1.7,overcast clouds
628,Port Elgin,CA,46.0487,-64.0868,55.62,94,43,1.63,scattered clouds
629,Matagami,CA,49.7502,-77.6328,50.11,81,0,0.0,clear sky
630,Kysyl-Syr,RU,63.8986,122.7617,52.54,51,100,13.22,overcast clouds
631,Marzuq,YE,14.4,46.4667,78.93,48,94,7.02,overcast clouds
632,Faya,SA,18.3851,42.4509,70.32,44,100,2.86,overcast clouds
633,Santa Rosalia,MX,27.3167,-112.2833,81.07,54,2,3.78,clear sky
634,Romitan,UZ,39.9343,64.3814,78.94,29,100,15.01,overcast clouds
635,Kurchum,KZ,48.5722,83.6542,73.09,47,1,6.78,clear sky
636,Marsaxlokk,MT,35.8419,14.5431,72.09,75,0,5.75,clear sky
637,Dzhebariki-Khaya,RU,62.2167,135.8,79.54,37,91,6.29,overcast clouds
638,Gilbues,BR,-9.8317,-45.3439,70.56,42,9,3.4,clear sky
639,Sakakah,SA,29.9697,40.2064,85.57,21,0,4.12,clear sky
640,Phangnga,TH,8.4509,98.5298,86.04,67,94,2.51,overcast clouds
641,Floro,NO,61.5996,5.0328,48.16,93,2,6.91,clear sky
642,Waingapu,ID,-9.6567,120.2641,85.32,56,12,15.17,few clouds
643,Vostok,RU,46.4856,135.8833,66.31,62,55,4.72,broken clouds
644,Mao,ES,39.8885,4.2658,73.96,88,75,9.22,broken clouds
645,Zhangjiakou,CN,40.81,114.8794,85.44,41,91,2.42,overcast clouds
646,Moyo,UG,3.6609,31.7247,60.82,96,100,1.77,overcast clouds
647,Melbu,NO,68.5044,14.8297,49.82,76,100,3.44,overcast clouds
648,Lucea,JM,18.451,-78.1736,84.06,76,100,3.91,overcast clouds
649,Gberia Fotombu,SL,9.8833,-11.1667,67.73,99,66,4.43,broken clouds
650,Dabat,ET,12.9842,37.765,55.02,73,100,2.33,light rain
651,Whitehorse,CA,60.7161,-135.0538,65.17,29,40,13.8,scattered clouds
652,Sol-Iletsk,RU,51.1631,54.9918,64.69,69,61,6.98,broken clouds
653,Obanazawa,JP,38.6033,140.4019,80.76,62,71,6.76,broken clouds
654,Ankazoabo,MG,-22.2833,44.5167,56.75,83,0,4.09,clear sky
655,Wagar,SD,16.1525,36.2032,81.39,53,86,11.54,overcast clouds
656,Cherdyn,RU,60.403,56.4787,56.88,78,78,4.54,broken clouds
657,Elban,RU,50.1018,136.5094,62.24,77,100,5.08,overcast clouds
658,Kamaishi,JP,39.2667,141.8833,76.95,55,76,12.48,broken clouds
659,Khandyga,RU,62.6667,135.6,79.54,36,35,6.11,scattered clouds
660,Sistranda,NO,63.7256,8.834,44.56,85,11,1.95,few clouds
661,Miles City,US,46.4083,-105.8406,61.77,88,20,19.57,few clouds
662,Hosanagara,IN,13.9167,75.0667,74.41,81,100,5.99,overcast clouds
663,Tautira,PF,-17.7333,-149.15,78.3,75,38,20.11,scattered clouds
664,Saryg-Sep,RU,51.5,95.6,68.27,52,6,3.94,clear sky
665,Vanderhoof,CA,54.0166,-124.0198,65.7,44,13,6.89,few clouds
666,Roma,US,43.2128,-75.4557,54.73,82,0,1.01,clear sky
667,Verkhnevilyuysk,RU,63.4453,120.3167,51.69,55,100,13.0,overcast clouds
668,Thunder Bay,CA,48.4001,-89.3168,51.78,76,75,14.97,broken clouds
669,Acapetahua,MX,15.2833,-92.7,72.91,97,100,4.81,overcast clouds
670,Ust-Uda,RU,54.1742,103.0304,70.54,60,16,3.15,light rain
671,Mayo,US,38.8876,-76.5119,69.4,62,29,1.01,scattered clouds
672,Patacamaya,BO,-17.2333,-67.9167,38.05,30,0,0.4,clear sky
673,Alice Springs,AU,-23.7,133.8833,72.95,32,0,1.14,clear sky
674,Wufeng,CN,27.45,104.8333,68.81,78,100,2.37,overcast clouds
675,Muzaffarabad,PK,34.37,73.4711,68.56,74,100,2.66,moderate rain
676,Sarny,UA,51.338,26.6019,62.85,72,0,10.4,clear sky
677,La Asuncion,VE,11.0333,-63.8628,80.33,89,6,13.8,clear sky
678,Katobu,ID,-4.9408,122.5276,84.43,65,96,5.79,overcast clouds
679,Nago,JP,26.5881,127.9761,88.65,80,86,11.01,overcast clouds
680,Atambua,ID,-9.1061,124.8925,82.24,48,47,2.82,scattered clouds
681,Casper,US,42.8666,-106.3131,70.39,42,40,8.05,scattered clouds
682,Sendhwa,IN,21.6833,75.1,83.25,65,39,16.24,scattered clouds
683,Alekseyevsk,RU,57.8406,108.3492,56.73,98,100,7.74,light rain
684,Milkovo,RU,54.7167,158.6167,65.46,53,100,6.91,overcast clouds
685,Pokrovsk,UA,48.282,37.1758,63.61,74,0,3.09,clear sky
686,Lavrentiya,RU,65.5833,-171.0,55.6,51,50,14.45,scattered clouds
687,The Valley,AI,18.217,-63.0578,81.82,79,2,20.92,clear sky
688,Aginskoye,RU,51.1,114.53,62.13,80,100,15.19,light rain
689,Tual,ID,-5.6667,132.75,80.17,76,100,6.24,overcast clouds
690,Crixas,BR,-14.5489,-49.9692,70.83,41,0,3.02,clear sky
691,Sao Francisco,BR,-15.9486,-44.8644,69.66,56,0,6.8,light rain
692,Salinopolis,BR,-0.6136,-47.3561,77.99,86,100,10.87,overcast clouds
693,Kudymkar,RU,59.0173,54.656,53.82,93,100,4.61,overcast clouds
694,Portland,US,45.5234,-122.6762,64.62,76,75,5.75,broken clouds
695,Montepuez,MZ,-13.1256,38.9997,55.49,89,5,4.81,clear sky
696,Palasa,IN,18.7667,84.4167,89.22,62,100,10.11,overcast clouds
697,Prado,BR,-17.3411,-39.2208,68.99,87,4,5.48,clear sky
698,Paratinga,BR,-12.6906,-43.1842,70.2,41,64,4.74,broken clouds
699,Egvekinot,RU,66.3167,-179.1667,38.03,97,100,6.51,light rain
700,Daulatpur,PK,26.5015,67.9706,91.26,50,0,7.94,clear sky
701,Griffith,US,41.5284,-87.4237,77.9,50,0,8.05,clear sky
702,Leh,IN,34.1667,77.5833,46.89,55,99,4.94,overcast clouds
